通稱,name,scientificName,chineseName,attribute,described,distribution
燕子石斛,Dendrobium equitans,,,,,
新竹石斛,Dendrobium falconeri,,,,,
雙花石斛,Dendrobium furcatopedicellatum,,,,,
紅石斛;海南石斛,Dendrobium goldschmidtianum,,,,,
細莖石斛,Dendrobium leptocladum,,,,,
櫻石斛,Dendrobium linawianum,,,,,
呂宋石斛,Dendrobium luzonense,,,,,
紅花石斛,Dendrobium miyakei,,,,,
石斛,Dendrobium moniliforme,,,,,
臺灣石斛;石斛,Dendrobium nobile var. formosanum,,,,,
?球石斛,Dendrobium okinawense,,,,,
小雙花石斛,Dendrobium somae,,,,,
,Dendrocalamus farinosus,,,,,
荖濃巨竹;印度麻竹;龍竹,Dendrocalamus giganteus,,,,,
麻竹,Dendrocalamus latiflorus var. latiflorus,,,,,
印度實竹;牡竹,Dendrocalamus strictus,,,,,
黃穗蘭,Dendrochilum uncatum,,,,,
紅頭咬人狗,Dendrocnide kotoensis,,,,,
咬人狗,Dendrocnide meyeniana,,,,,
雙節山螞蝗,Dendrolobium dispermum,,,,,
假木豆,Dendrolobium triangulare,,,,,
白木蘇花,Dendrolobium umbellatum,,,,,
臺灣樹參;臺灣杞李,Dendropanax dentiger,,,,,
三菱果樹參,Dendropanax trifidus,,,,,
小牙草,Dentella repens,,,,,
蘭嶼魚藤,Derris canarensis,,,,,
魚藤,Derris elliptica,,,,,
疏花魚藤,Derris laxiflora,,,,,
蘭嶼魚藤,Derris oblonga,,,,,
三葉魚藤,Derris trifoliata,,,,,
高山髮草,Deschampsia atropurpurea,,,,,
髮草,Deschampsia cespitosa var. festucifolia,,,,,
曲芒髮草,Deschampsia flexuosa,,,,,
多枝草合歡,Desmanthus virgatus,,,,,
散花山螞蝗,Desmodium diffusum,,,,,
大葉山螞蝗,Desmodium gangeticum,,,,,
細葉山螞蝗,Desmodium gracillimum,,,,,
假地豆,Desmodium heterocarpon,,,,,
直毛假地豆,Desmodium heterocarpon var. strigosum,,,,,
變葉山螞蝗,Desmodium heterophyllum,,,,,
西班牙三葉草,Desmodium intortum,,,,,
疏花山螞蝗,Desmodium laxiflorum,,,,,
小葉山螞蝗,Desmodium microphyllum,,,,,
多花山螞蝗,Desmodium multiflorum,,,,,
腎葉山螞蝗,Desmodium renifolium,,,,,
蝦尾山螞蝗,Desmodium scorpiurus,,,,,
波葉山螞蝗,Desmodium sequax,,,,,
紫花山螞蝗;南美山螞蝗,Desmodium tortuosum,,,,,
蠅翼草;三點金草,Desmodium triflorum,,,,,
銀葉藤,Desmodium uncinatum,,,,,
絨毛葉山螞蝗,Desmodium velutinum,,,,,
單葉拿身草,Desmodium zonatum,,,,,
心基葉溲疏,Deutzia cordatula,,,,,
大葉溲疏,Deutzia pulchra,,,,,
臺灣溲疏,Deutzia taiwanensis,,,,,
野青茅,Deyeuxia pyramidalis,,,,,
水山野青茅,Deyeuxia suizanensis,,,,,
桔梗蘭;山菅蘭,Dianella ensifolia,,,,,
石竹;洛陽花;剪絨花,Dianthus chinensis,,,,,
長萼瞿麥,Dianthus longicalyx,,,,,
巴陵石竹,Dianthus palinensis,,,,,
玉山石竹,Dianthus pygmaeus,,,,,
白花玉山石竹,Dianthus pygmaeus f. iflorus,,,,,
,Dianthus seisuimontanus,,,,,
臺灣瞿麥,Dianthus superbus var. taiwanensis,,,,,
雙花草,Dichanthium annulatum,,,,,
毛梗雙花草,Dichanthium aristatum,,,,,
鐵線蕨葉人字果;臺灣人字果,Dichocarpum arisanensis,,,,,
馬蹄金,Dichondra micrantha,,,,,
茯苓菜,Dichrocephala integrifolia,,,,,
華九頭獅子草,Dicliptera chinensis,,,,,
網子椰子,Dictyosperma album,,,,,
,Didiciea neglecta,,,,,
錨柱蘭,Didymoplexiella siamensis,,,,,
小鬼蘭,Didymoplexis micradenia,,,,,
吊鐘鬼蘭,Didymoplexis pallens,,,,,
黛粉葉,Dieffenbachia maculata,,,,,
白玉黛粉葉;花葉萬年青,Dieffenbachia picta,,,,,
,Dienia ophrydis,,,,,
瘤果莧,Digera muricata,,,,,
黃花毛地黃,Digitalis lutea,,,,,
毛地黃,Digitalis purpurea,,,,,
升馬唐;纖毛馬唐,Digitaria ciliaris,,,,,
盤固草,Digitaria decumbens,,,,,
蔭指草,Digitaria diversinervis,,,,,
佛歐里馬唐,Digitaria fauriei,,,,,
亨利馬唐,Digitaria henryi,,,,,
粗穗馬唐;二型馬唐,Digitaria heterantha,,,,,
止血馬唐,Digitaria ischaemum,,,,,
叢立馬唐,Digitaria leptalea,,,,,
長花馬唐,Digitaria longiflora,,,,,
大絨馬唐,Digitaria magna,,,,,
絨馬唐,Digitaria mollicoma,,,,,
毛馬唐,Digitaria radicosa var. hirsuta,,,,,
小馬唐,Digitaria radicosa var. radicosa,,,,,
馬唐,Digitaria sanguinalis,,,,,
絹毛馬唐,Digitaria sericea,,,,,
短穎馬唐;海南馬唐,Digitaria setigera,,,,,
紫果馬唐;紫馬唐,Digitaria violascens,,,,,
第倫桃,Dillenia indica,,,,,
鐮形觿茅,Dimeria falcata,,,,,
觿茅,Dimeria ornithopoda,,,,,
龍眼;桂圓,Dimocarpus longan,,,,,
地巴拉草,Dinebra arabica,,,,,
粗毛鈕扣草,Diodia teres,,,,,
維州鈕扣草,Diodia virginiana,,,,,
大薯;紫薯;田薯;罐薯,Dioscorea alata,,,,,
家山藥;田薯;佛掌薯,Dioscorea batatas,,,,,
田箐;山藥薯;大青薯,Dioscorea benthamii,,,,,
山芋;金錦吊蝦蟆;薢萆川;獨黃;山慈菇,Dioscorea bulbifera,,,,,
掌葉薯;五葉薯蕷,Dioscorea codonopsidifolia,,,,,
華南薯蕷,Dioscorea collettii,,,,,
蘭嶼田薯,Dioscorea cumingii,,,,,
戟葉田薯,Dioscorea doryphora,,,,,
刺薯蕷;甘薯,Dioscorea esculenta var. spinosa,,,,,
,Dioscorea flabellifolia,,,,,
臺灣薯蕷,Dioscorea formosana,,,,,
福州薯蕷;萆蘚;土萆蘚;猴骨草,Dioscorea futschauensis,,,,,
大苦薯;白薯榔,Dioscorea hispida,,,,,
薄葉野山藥;日本薯蕷,Dioscorea japonica var. japonica,,,,,
細葉野山藥,Dioscorea japonica var. oldhamii,,,,,
基隆野山藥;山藥薯,Dioscorea japonica var. pseudojaponica,,,,,
圓錐花薯蕷,Dioscorea kaoi,,,,,
裏白葉薯榔,Dioscorea matsudae,,,,,
,Dioscorea oppositifolia,,,,,
假山藥薯,Dioscorea persimilis,,,,,
長山藥,Dioscorea polystachya,,,,,
非洲薯蕷,Dioscorea sansibarensis,,,,,
黑柿,Diospyros digyna,,,,,
象牙柿,Diospyros egbert-walkeri,,,,,
軟毛柿,Diospyros eriantha,,,,,
象牙柿;象牙樹;烏皮石柃,Diospyros ferrea,,,,,
山柿,Diospyros japonica,,,,,
柿,Diospyros kaki,,,,,
蘭嶼柿,Diospyros kotoensis,,,,,
黃心柿,Diospyros maritima,,,,,
山紅柿;油柿,Diospyros morrisiana,,,,,
俄氏柿;臺東柿,Diospyros oldhamii,,,,,
毛柿,Diospyros philippensis,,,,,
菱葉柿,Diospyros rhombifolia,,,,,
楓港柿,Diospyros vaccinioides,,,,,
裂穎茅,Diplacrum caricinum,,,,,
雙輪瓜,Diplocyclos palmatus,,,,,
,Diplomorpha ganpi,,,,,
倒吊蘭,Diploprora championii,,,,,
風不動,Dischidia formosana,,,,,
雙袋蘭;蘭嶼草蘭,Disperis siamensis,,,,,
阿里山假寶鐸花;深裂竹根七,Disporopsis fuscopicta var. arisanensis,,,,,
臺灣假寶鐸花,Disporopsis taiwanensis,,,,,
臺灣寶鐸花,Disporum kawakamii,,,,,
南投寶鐸花,Disporum nantouense,,,,,
山寶鐸花,Disporum shimadae,,,,,
紅花寶鐸花,Disporum taiwanense,,,,,
尖葉水絲梨,Distyliopsis dunnii,,,,,
細葉蚊母樹,Distylium gracile,,,,,
蚊母樹,Distylium racemosum,,,,,
孔雀木,Dizygotheca elegantissima,,,,,
車桑子,Dodonaea viscosa,,,,,
蘭嶼竹芋,Donax canniformis,,,,,
三角斧蛤,Donax deltoides,,,,,
虻眼草,Dopatrium junceum,,,,,
彩虹菊,Dorotheanthus bellidiformis,,,,,
錫蘭醋栗,Doryalis hebecarpa,,,,,
臺灣山薺,Draba sekiyana,,,,,
番仔林投,Dracaena angustifolia,,,,,
香龍血樹,Dracaena fragrans,,,,,
,Dracaena goldieana,,,,,
紅邊竹蕉;五彩千年木,Dracaena marginata,,,,,
百合竹,Dracaena reflexa,,,,,
華他卡藤,Dregea volubilis,,,,,
油點百合,Drimiopsis kirkii,,,,,
單蕊麻,Droguetia iners subsp. urticoides,,,,,
金錢草;錦地羅;一朵芙蓉花;寬葉毛氈苔;烏蠅草;落地金錢,Drosera burmannii,,,,,
長葉茅膏菜,Drosera indica,,,,,
茅膏菜,Drosera peltata,,,,,
小毛氈苔,Drosera spathulata,,,,,
荷蓮豆草,Drymaria diandra,,,,,
交力坪鐵色;核果木,Drypetes karapinensis,,,,,
鐵色;鐵色樹,Drypetes littoralis,,,,,
臺灣蛇莓,Duchesnea chrysantha,,,,,
蛇莓;龍吐珠;地梅,Duchesnea indica,,,,,
苗栗野豇豆,Dumasia miaoliensis,,,,,
臺灣山黑扁豆,Dumasia villosa subsp. bicolor,,,,,
麥氏野扁豆,Dunbaria merrillii,,,,,
圓葉野扁豆,Dunbaria rotundifolia,,,,,
毛野扁豆,Dunbaria villosa,,,,,
蕾絲金露花,Duranta repens,,,,,
榴槤,Durio zibethinus,,,,,
毛豇豆,Dysolobium pilosum,,,,,
八角蓮,Dysosma pleiantha,,,,,
蘭嶼?木,Dysoxylum arborescens,,,,,
蘭嶼椌木,Dysoxylum cumingianum,,,,,
紅果椌木,Dysoxylum hongkongense,,,,,
大花椌木,Dysoxylum parasiticum,,,,,
油芒,Eccoilopus cotulifer,,,,,
臺灣油芒,Eccoilopus formosanus,,,,,
,Echeveria peacockii,,,,,
芒稷;光頭稗,Echinochloa colona,,,,,
稗,Echinochloa crus-galli,,,,,
參子;湖南稷子,Echinochloa frumentacea,,,,,
象牙草;象耳澤瀉,Echinodorus cordifolius,,,,,
漏盧;山防風,Echinops grijsii,,,,,
窄葉鱧腸,Eclipta angustata,,,,,
鱧腸,Eclipta prostrata,,,,,
毛鱧腸,Eclipta zippeliana,,,,,
水蘊草,Egeria densa,,,,,
厚殼樹,Ehretia acuminata,,,,,
破皮烏,Ehretia dicksonii,,,,,
長葉厚殼樹;山檳榔,Ehretia longiflora,,,,,
蘭嶼厚殼樹,Ehretia philippinensis,,,,,
恒春厚殼樹,Ehretia resinosa,,,,,
布袋蓮;浮水蓮花;鳳眼蓮,Eichhornia crassipes,,,,,
密花胡頹子;羊奶果,Elaeagnus conferta,,,,,
臺灣胡頹子,Elaeagnus formosana,,,,,
蓬萊胡頹子,Elaeagnus formosensis,,,,,
藤胡頹子,Elaeagnus glabra,,,,,
慈恩胡頹子,Elaeagnus grandifolia,,,,,
,Elaeagnus macrophylla,,,,,
大橋胡頹子,Elaeagnus ohashii,,,,,
?梧,Elaeagnus oldhamii,,,,,
胡頹子,Elaeagnus pungens,,,,,
太魯閣胡頹子,Elaeagnus tarokoensis,,,,,
鄧氏胡頹子,Elaeagnus thunbergii,,,,,
菲律賓胡頹子,Elaeagnus triflora,,,,,
小葉胡頹子;倒卵葉胡頹子,Elaeagnus umbellata,,,,,
油椰子,Elaeis guineensis,,,,,
腺葉杜英,Elaeocarpus argenteus,,,,,
薯豆,Elaeocarpus japonicus,,,,,
,Elaeocarpus lanceifolius,,,,,
繁花薯豆,Elaeocarpus multiflorus,,,,,
錫蘭橄欖,Elaeocarpus serratus,,,,,
球果杜英,Elaeocarpus sphaericus var. hayatae,,,,,
杜英,Elaeocarpus sylvestris,,,,,
蘭嶼杜英,Elaeocarpus sylvestris var. lanyuensis,,,,,
短柄花溝繁縷;三蕊溝繁縷,Elatine ambigua,,,,,
銳齒樓梯草,Elatostema acuteserratum,,,,,
臺灣樓梯草,Elatostema cyrtandrifolium,,,,,
食用樓梯草,Elatostema edule,,,,,
糙梗樓梯草,Elatostema hirtellipedunculatum,,,,,
白背樓梯草,Elatostema hypoglaucum,,,,,
冷清草,Elatostema lineolatum var. majus,,,,,
微頭花樓梯草,Elatostema microcephalanthum,,,,,
長圓樓梯草,Elatostema oblongifolium,,,,,
絨莖樓梯草,Elatostema parvum,,,,,
巒大冷清草,Elatostema platyphyllum,,,,,
溪澗樓梯草,Elatostema rivulare,,,,,
微粗毛樓梯草,Elatostema strigillosum,,,,,
近革葉樓梯草,Elatostema subcoriaceum,,,,,
裂葉樓梯草,Elatostema trilobulatum,,,,,
柔毛樓梯草,Elatostema villosum,,,,,
牛毛顫,Eleocharis acicularis,,,,,
桃園藺,Eleocharis acutangula,,,,,
黑果藺;紫果藺,Eleocharis atropurpurea,,,,,
,Eleocharis chaetaria,,,,,
針藺;透明鱗荸薺,Eleocharis congesta subsp. japonica,,,,,
荸薺;水燈心草,Eleocharis dulcis var. dulcis,,,,,
甜荸薺;荸薺;木賊狀荸薺;野荸薺,Eleocharis dulcis var. tuberosa,,,,,
彎形藺,Eleocharis geniculata,,,,,
日月潭藺;假馬蹄,Eleocharis ochrostachys,,,,,
四角藺;龍師草,Eleocharis tetraquetra,,,,,
地膽草;毛蓮菜,Elephantopus mollis,,,,,
燈豎朽,Elephantopus scaber,,,,,
穇子;穇,Eleusine coracana,,,,,
牛筋草,Eleusine indica,,,,,
離藥金藥箭,Eleutheranthera ruderalis,,,,,
毛脈三葉五加,Eleutherococcus trifoliatus var. setosus,,,,,
三葉五加;五加皮;白?;香籐刺;三加皮,Eleutherococcus trifoliatus var. trifoliatus,,,,,
海螺菊;幌菊,Ellisiophyllum pinnatum,,,,,
香薷,Elsholtzia ciliata,,,,,
球花香薷,Elsholtzia strobilifera,,,,,
纖毛披鹼草,Elymus ciliaris,,,,,
臺灣披鹼草,Elymus formosanus,,,,,
膜緣披鹼草,Elymus tsukushiensis,,,,,
正藤木槲;酸子藤;酸果藤,Embelia laeta,,,,,
藤毛木槲,Embelia laeta var. papilligera,,,,,
賽山椒,Embelia lenticellata,,,,,
野山椒,Embelia rudis,,,,,
纓絨花,Emilia fosbergii,,,,,
粉黃纓絨花,Emilia praetermissa,,,,,
紫背草;一點紅;葉下紅,Emilia sonchifolia,,,,,
紫背草,Emilia sonchifolia var. javanica,,,,,
三蕊楠,Endiandra coriacea,,,,,
黃杞,Engelhardtia roxburghiana,,,,,
臺灣吊鐘花,Enkianthus perulatus,,,,,
象腿蕉,Ensete glaucum,,,,,
恆春鴨腱藤,Entada parvifolia,,,,,
榼藤子;鴨腱藤;過江龍,Entada phaseoloides,,,,,
鴨腱藤,Entada pursaetha,,,,,
臺灣鴨腱藤,Entada pursaetha var. formosana,,,,,
腸鬚草,Enteropogon dolichostachyus,,,,,
,Enteropogon formosensis,,,,,
細穗腸鬚草,Enteropogon unispiceus,,,,,
鵝不食草,Epaltes australis,,,,,
著頦蘭,Epigeneium fargesii,,,,,
蠟著頦蘭,Epigeneium nakaharae,,,,,
黑龍江柳葉菜,Epilobium amurense subsp. amurense,,,,,
短葉柳葉菜,Epilobium brevifolium subsp. trichoneurum,,,,,
合歡柳葉菜,Epilobium hohuanense,,,,,
南湖柳葉菜,Epilobium nankotaizanense,,,,,
彭氏柳葉菜;網籽柳葉菜,Epilobium pengii,,,,,
闊柱柳葉菜,Epilobium platystigmatosum,,,,,
臺灣柳葉菜,Epilobium taiwanianum,,,,,
余氏鈴?,Epipactis fascicularis,,,,,
臺灣鈴蘭;臺灣火燒蘭,Epipactis helleborine subsp. ohwii,,,,,
曇花,Epiphyllum oxypetalum,,,,,
無葉上鬚蘭,Epipogium aphyllum,,,,,
日本上鬚蘭,Epipogium japonicum,,,,,
墾丁上鬚蘭,Epipogium kentingensis,,,,,
高士佛上鬚蘭,Epipogium roseum,,,,,
黃金葛,Epipremnum aureum,,,,,
臺灣拎樹藤,Epipremnum formosanum,,,,,
拎樹藤,Epipremnum pinnatum,,,,,
寄生鱗葉草,Epirixanthes elongata,,,,,
喜蔭花,Episcia cupreata,,,,,
密花苣苔,Epithema taiwanensis var. fasciculata,,,,,
臺灣苣苔,Epithema taiwanensis var. taiwanensis,,,,,
鯽魚草,Eragrostis amabilis,,,,,
鼠婦草,Eragrostis atrovirens,,,,,
秋畫眉草,Eragrostis autumnalis,,,,,
長畫眉草,Eragrostis brownii,,,,,
大畫眉草,Eragrostis cilianensis,,,,,
毛畫眉草,Eragrostis ciliaris,,,,,
肯氏畫眉草,Eragrostis cumingii,,,,,
垂愛草,Eragrostis curvula,,,,,
短穗畫眉草,Eragrostis cylindrica,,,,,
佛歐里畫眉草,Eragrostis fauriei,,,,,
知風草,Eragrostis ferruginea,,,,,
日本鯽魚草;亂草,Eragrostis japonica,,,,,
小畫眉草,Eragrostis minor,,,,,
多桿畫眉草,Eragrostis multicaulis,,,,,
尼氏畫眉草;華南畫眉草,Eragrostis nevinii,,,,,
細葉畫眉草,Eragrostis nutans,,,,,
畫眉草,Eragrostis pilosa,,,,,
多毛知風草,Eragrostis pilosissima,,,,,
毛葉知風草;有毛畫眉草,Eragrostis pilosiuscula,,,,,
小畫眉草,Eragrostis poaeoides,,,,,
薄?畫眉草,Eragrostis tenuifolia,,,,,
牛虱草,Eragrostis unioloides,,,,,
饑荒草,Erechtites hieracifolia,,,,,
飛機草,Erechtites valerianaefolia,,,,,
飛機草,Erechtites valerianifolia,,,,,
蜈蚣草,Eremochloa ciliaris,,,,,
假儉草,Eremochloa ophiuroides,,,,,
黃絨蘭,Eria corneri,,,,,
臺灣絨蘭,Eria formosana,,,,,
香港毛蘭,Eria gagnepainii,,,,,
大葉絨蘭,Eria javanica,,,,,
斑茅,Erianthus arundinaceus,,,,,
臺灣蔗草;紫台蔗茅,Erianthus formosanus,,,,,
白頂飛蓬,Erigeron annuus,,,,,
類雛菊飛蓬,Erigeron bellioides,,,,,
福山氏飛蓬,Erigeron morrisonensis var. fukuyamae,,,,,
玉山飛蓬,Erigeron morrisonensis var. morrisonensis,,,,,
武威山枇杷,Eriobotrya deflexa f. buisanensis,,,,,
山枇杷;臺灣枇杷,Eriobotrya deflexa f. deflexa,,,,,
,Eriobotrya japonica,,,,,
連萼穀精草,Eriocaulon buergerianum,,,,,
小穀精草;白藥穀精草,Eriocaulon cinereum,,,,,
南投榖精草,Eriocaulon nantoense,,,,,
疏毛穀精草,Eriocaulon nantoense var. parviceps,,,,,
尼泊爾榖精草;蓮花池榖精草,Eriocaulon nepalense,,,,,
大葉穀精草;絲葉穀精草,Eriocaulon sexangulare,,,,,
泰山縠精草,Eriocaulon taishanense,,,,,
菲律賓穀精草,Eriocaulon truncatum,,,,,
高野黍,Eriochloa procera,,,,,
野黍,Eriochloa villosa,,,,,
豬仔笠,Eriosema chinense,,,,,
芹葉尨牛兒苗,Erodium cicutarium,,,,,
麝香尨牛兒苗,Erodium moschatum,,,,,
亨利氏伊立基藤,Erycibe henryi,,,,,
刺芫荽,Eryngium foetidum,,,,,
雞冠刺桐;象牙花,Erythrina crista-galli,,,,,
刺桐;龍牙花;納塔爾刺桐,Erythrina variegata,,,,,
,Erythrina × bidwillii,,,,,
小唇蘭,Erythrodes blumei,,,,,
密花小唇蘭,Erythrodes blumei var. aggregatus,,,,,
,Erythrodes latifolia,,,,,
三藥細筆蘭,Erythrodes triantherae,,,,,
蔓莖山珊瑚,Erythrorchis altissima,,,,,
銀葉桉,Eucalyptus cinerea,,,,,
檸檬香桉樹;油桉樹;檸檬桉,Eucalyptus maculata var. citriodora,,,,,
,Eucalyptus robusta,,,,,
類蜀黍,Euchlaena mexicana,,,,,
臺灣山豆根,Euchresta formosana,,,,,
水蓮霧,Eugenia aquea,,,,,
巴西櫻桃,Eugenia brasiliensis,,,,,
單子蒲桃,Eugenia pitanga,,,,,
稜果蒲桃,Eugenia uniflora,,,,,
細稈金茅;龔氏金茅,Eulalia leschenaultiana,,,,,
四脈金茅,Eulalia quadrinervis,,,,,
金茅,Eulalia speciosa,,,,,
擬金茅,Eulaliopsis binata,,,,,
短裂芋蘭;臺灣美冠蘭,Eulophia brachycentra,,,,,
紫芋蘭,Eulophia dentata,,,,,
臺灣芋蘭,Eulophia formosana,,,,,
禾草芋蘭,Eulophia graminea,,,,,
輻射芋蘭,Eulophia pelorica,,,,,
南洋芋蘭;大芋蘭,Eulophia pulchra,,,,,
山芋蘭;烏石鼻芋蘭,Eulophia zollingeri,,,,,
衛矛,Euonymus alatus,,,,,
厚葉衛矛,Euonymus carnosus,,,,,
交趾衛矛,Euonymus cochinchinensis,,,,,
刺果衛矛,Euonymus fortunei,,,,,
黃氏衛矛,Euonymus huangii,,,,,
日本衛矛,Euonymus japonicus,,,,,
大丁黃,Euonymus laxiflorus,,,,,
垂絲衛矛,Euonymus oxyphyllus,,,,,
淡綠葉衛矛,Euonymus pallidifolia,,,,,
刺果衛矛,Euonymus spraguei,,,,,
菱葉衛矛,Euonymus tashiroi,,,,,
卵葉刺果衛矛,Euonymus trichocarpus,,,,,
腺葉澤蘭,Eupatorium amabile,,,,,
塔山澤蘭,Eupatorium chinense var. tozanense,,,,,
田代氏澤蘭,Eupatorium clematideum var. clematideum,,,,,
高士佛澤蘭,Eupatorium clematideum var. gracillimum,,,,,
臺灣澤蘭,Eupatorium formosanum,,,,,
花蓮澤蘭,Eupatorium hualienense,,,,,
基隆澤蘭,Eupatorium kiirunense,,,,,
林氏澤蘭,Eupatorium lindleyanum,,,,,
島田氏澤蘭;毛果澤蘭,Eupatorium shimadae,,,,,
,Euphorbia cotinifolia,,,,,
猩猩草,Euphorbia cyathophora,,,,,
臺灣大戟,Euphorbia formosana,,,,,
禾葉大戟,Euphorbia graminea,,,,,
澤漆;乳草,Euphorbia helioscopia,,,,,
白苞猩猩草,Euphorbia heterophylla,,,,,
岩大戟,Euphorbia jolkini,,,,,
麒麟花,Euphorbia milii,,,,,
荸艾類大戟,Euphorbia peplus,,,,,
聖誕紅,Euphorbia pulcherrima,,,,,
霞山大戟;大狼毒,Euphorbia shouanensis,,,,,
心葉大戟,Euphorbia sparrmannii,,,,,
太魯閣大戟,Euphorbia tarokoensis,,,,,
綠珊瑚,Euphorbia tirucalli,,,,,
南湖碎雪草,Euphrasia nankotaizanensis,,,,,
太魯閣小米草,Euphrasia tarokoana,,,,,
臺灣碎雪草;多腺毛小米草,Euphrasia transmorrisonensis var. durietziana,,,,,
玉山小米草,Euphrasia transmorrisonensis var. transmorrisonensis,,,,,
銳葉柃木,Eurya acuminata,,,,,
米碎柃木,Eurya chinensis,,,,,
假柃木,Eurya crenatifolia,,,,,
凹葉柃木,Eurya emarginata,,,,,
厚葉柃木,Eurya glaberrima,,,,,
毛果柃木,Eurya gnaphalocarpa,,,,,
早田氏柃木,Eurya hayatae,,,,,
薄葉柃木,Eurya leptophylla,,,,,
細枝柃木,Eurya loquaiana,,,,,
光葉柃木,Eurya nitida,,,,,
南仁山柃木,Eurya nitida var. nanjenshanensis,,,,,
光葉柃木,Eurya nitida var. nitida,,,,,
蓮華池柃木,Eurya rengechiensis,,,,,
臺灣格柃,Eurya septata,,,,,
粗毛柃木,Eurya strigillosa,,,,,
清水山柃木,Eurya taitungensis,,,,,
芡,Euryale ferox,,,,,
賽欒華,Eurycorymbus cavaleriei,,,,,
野鴉椿,Euscaphis japonica,,,,,
真穗草,Eustachys tenera,,,,,
秀柱花,Eustigma oblongifolium,,,,,
洋桔梗,Eustoma russellianum,,,,,
山葵,Eutrema wasabi,,,,,
土丁桂,Evolvulus alsinoides,,,,,
銀絲草;狹葉土丁桂,Evolvulus alsinoides var. decumbens,,,,,
短梗土丁桂,Evolvulus nummularius,,,,,
藍星花,Evolvulus nuttallianus,,,,,
紫芳草,Exacum affine,,,,,
土沉香,Excoecaria agallocha,,,,,
臺灣土沉香,Excoecaria cochinchinensis,,,,,
蘭嶼土沉香,Excoecaria kawakamii,,,,,
赤地利,Fagopyrum cymosum,,,,,
蕎麥,Fagopyrum esculentum,,,,,
印度蕎麥,Fagopyrum tataricum,,,,,
灰莉,Fagraea ceilanica,,,,,
臺灣水青岡;臺灣山毛櫸;早田氏山毛櫸,Fagus hayatae,,,,,
卷莖蓼,Fallopia convolvulus,,,,,
臺灣何首烏,Fallopia multiflora var. hypoleucum,,,,,
臺灣山菊,Farfugium japonicum var. formosanum,,,,,
山菊,Farfugium japonicum var. japonicum,,,,,
細齒水蛇麻,Fatoua pilosa,,,,,
小蛇麻;水蛇麻,Fatoua villosa,,,,,
臺灣八角金盤;八角金盤;多果八角金盤,Fatsia polycarpa,,,,,
葦狀羊茅,Festuca arundinacea,,,,,
歐洲羊茅,Festuca elatior,,,,,
臺灣羊茅,Festuca formosana,,,,,
日本羊茅;雅庫羊茅,Festuca japonica,,,,,
高砂羊茅;弱序羊茅,Festuca leptopogon,,,,,
羊茅;草稃羊茅,Festuca ovina,,,,,
小穎羊茅,Festuca parvigluma,,,,,
紫羊茅,Festuca rubra,,,,,
菲律賓榕,Ficus ampelas,,,,,
象耳榕,Ficus aruiculata,,,,,
孟加拉榕,Ficus benghalensis,,,,,
垂榕;白榕;白肉榕,Ficus benjamina,,,,,
無花果,Ficus carica,,,,,
大葉雀榕,Ficus caulocarpa,,,,,
對葉榕,Ficus cumingii var. terminalifolia,,,,,
印度橡膠樹,Ficus elastica,,,,,
假枇杷,Ficus erecta,,,,,
牛奶榕,Ficus erecta var. beecheyana,,,,,
假枇杷,Ficus erecta var. erecta,,,,,
黃毛榕;大赦婆樹,Ficus esquiroliana,,,,,
小枇杷螺,Ficus ficus,,,,,
麻布枇杷螺,Ficus filosa,,,,,
水同木;豬母乳,Ficus fistulosa,,,,,
黃果豬母乳,Ficus fistulosa f. benguetensis,,,,,
天仙果,Ficus formosana,,,,,
細葉天仙果,Ficus formosana f. shimadae,,,,,
大枇杷螺,Ficus gracilis,,,,,
尖尾長葉榕,Ficus heteropleura,,,,,
澀葉榕,Ficus irisana,,,,,
琴葉榕,Ficus lyrata,,,,,
榕樹;正榕,Ficus microcarpa,,,,,
厚葉榕;萬權榕;謝氏榕,Ficus microcarpa var. crassifolia,,,,,
傅園榕,Ficus microcarpa var. fuyuensis,,,,,
鵝鑾鼻藤榕,Ficus microcarpa var. oluangpiensis,,,,,
小葉榕,Ficus microcarpa var. pusillifolia,,,,,
九重吹,Ficus nervosa,,,,,
條葉榕;窄葉臺灣榕,Ficus pandurata var. angustifolia,,,,,
全緣琴葉榕,Ficus pandurata var. holophylla,,,,,
琴葉榕,Ficus pandurata var. pandurata,,,,,
蔓榕,Ficus pedunculosa,,,,,
鵝鑾鼻蔓榕,Ficus pedunculosa var. mearnsii,,,,,
綠島榕,Ficus pubinervis,,,,,
薜荔,Ficus pumila,,,,,
愛玉子,Ficus pumila var. awkeotsang,,,,,
薜荔,Ficus pumila var. pumila,,,,,
大果藤榕;大果榕;小葉藤榕,Ficus punctata,,,,,
菩提樹,Ficus religiosa,,,,,
蘭嶼落葉榕,Ficus ruficaulis var. antaoensis,,,,,
阿里山珍珠蓮,Ficus sarmentosa var. henryi,,,,,
珍珠蓮,Ficus sarmentosa var. nipponica,,,,,
大冇榕,Ficus septica,,,,,
雀榕;山榕,Ficus subpisocarpa,,,,,
濱榕,Ficus tannoensis,,,,,
菱葉濱榕,Ficus tannoensis f. rhombifolia,,,,,
山豬枷,Ficus tinctoria,,,,,
鈍葉毛果榕,Ficus trichocarpa,,,,,
越橘葉蔓榕,Ficus vaccinioides,,,,,
花球枇杷螺,Ficus variegata,,,,,
幹花榕,Ficus variegata var. variegata,,,,,
島榕;白肉榕,Ficus virgata,,,,,
